행정구역,인구수,신고수,지역경찰서,지구대,파출소,살인,강도,성범죄,절도,폭력
강서구,"144,047",28066,9,0,9,0,3,40,356,537
금정구,"224,173",48267,5,4,1,5,2,69,778,793
기장군,"177,536",31093,5,2,3,1,0,51,564,688
남구,"259,735",86967,9,5,4,4,6,161,1194,1638
동구,"88,087",33113,5,2,3,2,0,36,478,656
동래구,"274,491",54971,6,4,2,2,1,99,922,1124
부산진구,"350,999",110680,10,7,3,2,5,256,2177,2614
북구,"280,511",55022,5,4,1,5,7,79,926,1056
사상구,"205,765",60048,6,3,3,4,7,88,948,1070
사하구,"305,008",64126,6,4,2,4,2,80,907,1249
서구,"104,340",25950,4,3,1,1,2,30,414,625
수영구,"174,739",0,0,0,0,0,0,0,0,0
연제구,"206,145",55612,6,3,3,5,3,106,886,1382
영도구,"109,395",26773,4,2,2,4,1,51,299,512
중구,"40,455",23690,5,1,4,3,2,30,583,565
해운대구,"391,311",79912,9,5,4,4,10,162,1238,1585
